target,E_D_4_Corallinophycidae,B_D_4_Hyphomonadaceae,B_D_4_Defluviitaleaceae,B_D_4_Desulfobulbaceae,E_D_4_Novel_Apicomplexa_Class_1,E_D_4_Rhodymeniophycidae,B_D_4_Kiloniellaceae,B_D_4_Pirellulaceae,B_D_4_Flavobacteriaceae,E_D_4_Intramacronucleata,B_D_4_Crocinitomicaceae,B_D_4_Marinilabiliaceae,B_D_3_BD7_8_other,B_D_4_uncultured_Aminicenantes_bacterium,B_D_4_Erysipelotrichaceae,B_D_4_bacterium_enrichment_culture_clone_22(2013),B_D_4_Clostridiaceae_1
1,0,0.013974938,0.065216379,5.207993665,0,0,0,7.793357246,9.861648111,0,0.032608189,0.586947408,0,0.074533004,0.265523827,0.190990823,0.642847161
1,0,0,0.17928707,6.259228011,0,0,0,7.329677283,10.51465935,0,0,0.996625185,0,0.05800464,0.205652816,0.369120439,1.249736343
1,0,0.021440823,0.085763293,5.687178388,0,0,0,8.549528302,10.70433105,0,0,0.932675815,0,0.032161235,0.166166381,0.412735849,1.195325901
1,0,0,0,6.143270622,0,0,0,7.850940666,9.94934877,0,0,1.497829233,0,0,0.12301013,0.289435601,1.092619392
1,0,0,0.076923077,6.798816568,0,0,0,14.94674556,7.49704142,0,0,0.207100592,0,0.053254438,0.177514793,0.449704142,1.00591716
1,0,0.061387354,0.112543483,7.571107019,0,0,0,14.40556579,7.202782893,0,0,0.173930837,0,0.051156129,0.327399222,0.255780643,1.048700634
0,0,0,0,2.819563993,0,0,0,8.655779905,9.729707988,0,0,1.311238034,0,0.261443166,0.028155418,0.929128791,0.289598584
0,0,0.018971732,0,2.156453551,0,0,0.221336875,9.074811864,9.093783596,0,0,1.188895213,0,0.233984696,0.018971732,0.480617214,0.120154303
0,0,0,0,3.413760405,0,0,0,7.586134232,10.64166052,0,0,1.127383837,0,0.231798546,0,0.948266779,0.284480034
0,0,0,0,2.607023292,2.698145025,0,0,7.813946862,9.445117174,0,0,1.681031412,0,0.213690434,0.028492058,0.690932403,0.12821426
0,0,0,0,4.339372514,0,0,0,14.70614229,7.21166593,0,0,0.450729121,0,0.313742819,0.097216085,0.653999116,0.406539991
0,0,0,0,4.396469332,0,0,0,14.31944679,7.972114466,0,0,0.404790015,0,0.241749592,0,0.79271378,0.337325013
1,0,0,0,1.755410968,12.25806452,0,0.185898287,5.388394636,2.267959102,0,0,0.188553977,0,0,0.268224671,0.239012083,0.964015403
1,8.480565371,0.123511684,0.029642804,6.08171533,15.54770318,0,0.069166543,14.00128452,6.481893187,0,0,0,0,0.064226076,0.049404674,0.138333086,0.335951781
1,26.19047619,0.088483528,0,3.047009711,0,0,0,3.40775025,5.72193484,0,0,0,0,0.449224068,0.260912969,0,0.274525819
1,0,0.244359974,0,3.848052525,0,0,0.150565237,3.603692551,9.771930691,0,0.074048477,0.153033519,0,0,0.16290665,0,0.464037123
1,29.35483871,0.057110223,0.020767354,6.095218317,0.64516129,0,0,11.87892633,12.01391413,0,0.041534707,0.129795961,0,0.025959192,0.09864493,0.26478376,0.176522507
1,28.4,0.274737255,0,2.372334394,0,0,0,4.670533339,4.879856962,5.2,0.030526362,0,0,0,0,0.052330906,1.753085343
1,0,0,0,4.440304301,0.960214508,0,0.139729856,2.623816178,15.68079491,0.03623451,0,0.791802515,0,0,0,0.32603633,0
1,0,0,0,5.332996335,0.663960646,0,0,2.944521673,14.35612284,0.018816698,0,0.353848098,0,0,0,0.265386074,0.101099457
