,Hakata,Hakata,Kitsuki,Kitsuki,Noto,Noto,Okayama_G,Okayama_G,Okayama_Y,Okayama_Y,Saiki,Saiki,Tokyo_HK,Tokyo_HK,Tokyo_KC,Tokyo_KC
name,sgr,non,sgr,non,sgr,non,sgr,non,sgr,non,sgr,non,sgr,non,sgr,non
B_D4_Rhodobacteraceae,2.111036916,1.158261573,5.696527539,2.564192346,1.660797494,2.139553248,0.647067689,0.762725171,0.435867218,0.347600496,4.312589539,3.954543245,3.299232444,2.482131699,3.904156936,3.068938161
B_D4_Marinilabiliaceae,0.31091578,0.560786841,0.35839767,0.122625046,0.105106576,0.297921254,0.12595131,0.309454024,0.05605186,0.112282026,0.561974126,0.990435179,1.24350122,1.240992733,0.267933478,0
B_D4_Flavobacteriaceae,5.688669345,2.94635318,16.30301711,13.1739071,4.916112203,5.355691445,5.703365965,4.037702236,3.73277566,3.538950475,9.14620387,10.7891454,13.39118556,15.67491334,9.847034821,7.798485449
B_D4_Saprospiraceae,0.425944386,0.44472683,3.579899478,5.749053239,0.274410923,0.250810359,0.129817156,0.038937645,0.395905271,0.230563315,0.653827732,0.706462917,0.958509327,1.424191592,1.671633223,2.264783039
B_D4_Sulfurovaceae,2.561718213,2.208125467,0.252989312,0.014383759,1.545958099,0.784997834,1.714400284,1.638999363,0.564804413,0.372197972,6.632519327,6.55440519,2.814719805,4.090397518,2.271234524,0.409888485
B_D4_Sandaracinaceae,1.120852879,1.407680391,3.547232635,4.723674917,1.944912172,2.749590982,3.995557057,3.264401176,2.638741797,3.111852634,1.355671857,0.985569404,1.838315643,1.964168174,4.496295418,5.760170525
B_D4_Desulfobacteraceae,4.896032089,7.434016241,1.443354172,2.685680644,4.114973897,4.454945688,5.584731732,5.393066231,5.053135239,5.274153117,5.022291782,6.288670121,5.123140551,5.209236724,4.117196386,2.674872905
B_D4_Halieaceae,2.047601902,1.411847067,2.382136539,1.878995397,1.701252672,2.393259601,3.808074302,2.915285833,3.249681777,2.617468944,0.937124229,0.828871359,1.688641041,1.39590172,3.285671611,3.343601166
B_D4_Cyclobacteriaceae,0.922384588,1.315248272,1.592671712,2.139539136,2.124145091,3.023564116,1.633752838,1.424027924,1.714639222,1.644119728,0.975234757,0.319050652,1.427021948,2.003261172,1.020768818,1.258653771
B_D4_Desulfobulbaceae,5.998015401,3.980355088,4.480008714,4.412429726,11.63384521,9.093369422,7.604191051,6.83104414,8.758892219,7.560548555,4.542074671,3.76106984,9.490652001,6.988066269,7.271856895,4.769486157
B_D4_Bacteroidetes BD2-2,1.597619874,2.019631194,1.039436392,0.622558583,2.068230464,1.81645131,2.281984043,1.868001378,2.343671253,2.128944643,2.333962212,3.591344119,2.311026602,2.294216397,0.964049922,0.3307043
B_D4_Thermoanaerobaculaceae,2.486381487,2.570081656,1.001773055,3.720611295,2.279232028,2.298052191,3.024202566,3.309517469,3.592205329,3.630599692,2.276216719,2.00757919,2.374590129,2.583335928,2.570857755,1.981199982
B_D4_Sva1033,0.676874811,0.187255567,0.06048675,0.0308906,0.041332135,0.241384383,1.708070034,2.882808973,0.56322231,0.92041025,0.022485572,0,0.328697767,0.58085614,0.722556829,0.566779984
B_D4_Anaerolineaceae,2.417515977,2.797993083,0.14379487,0.434320578,1.987865622,2.42970072,7.918801507,7.232692087,10.54788039,10.94032567,1.491341387,2.046607374,1.445788609,1.156322736,0.934554831,0.746332842
B_D4_Syntrophobacteraceae,0.709536296,0.907511056,0.095600673,0.290261521,0.918283583,1.702438822,3.117986185,2.78507473,4.291971277,5.652406472,0.031437763,0.021755021,0.123989828,0.12752129,0.36018311,0.243271888
Others,66.02890006,68.65012649,58.02267338,57.43687611,62.68354183,60.96826863,51.00204628,55.30626162,52.06055477,51.91757601,59.70504446,57.15449099,52.14098753,50.78448657,56.29401544,64.78283135
