Seagrass,E_Corallinophycidae,B_Hyphomonadaceae,B_Desulfobulbaceae,B_Kiloniellaceae,B_Flavobacteriaceae,B_Crocinitomicaceae,B_Marinilabiliaceae,B_BD7_8_other,B_bacterium_enrichment_culture_clone_22(2013),E_Novel Clade Gran-1,E_Diatomea,B_Unknown Family
1,0,0.013974938,5.207993665,0,9.861648111,0.032608189,0.586947408,0,0.190990823,0,0,0.619555597
1,0,0,6.259228011,0,10.51465935,0,0.996625185,0,0.369120439,0,0,0.305842649
1,0,0.021440823,5.687178388,0,10.70433105,0,0.932675815,0,0.412735849,0,0,0.428816467
1,0,0,6.143270622,0,9.94934877,0,1.497829233,0,0.289435601,0,0,0.607814761
1,0,0,6.798816568,0,7.49704142,0,0.207100592,0,0.449704142,0,0,0.49112426
1,0,0.061387354,7.571107019,0,7.202782893,0,0.173930837,0,0.255780643,0,0,0.537139349
0,0,0,2.819563993,0,9.729707988,0,1.311238034,0,0.929128791,0,0,0.168932507
0,0,0.018971732,2.156453551,0.221336875,9.093783596,0,1.188895213,0,0.480617214,0,0,0.18339341
0,0,0,3.413760405,0,10.64166052,0,1.127383837,0,0.948266779,0,0,0.179117058
0,0,0,2.607023292,0,9.445117174,0,1.681031412,0,0.690932403,0,0,0.121091246
0,0,0,4.339372514,0,7.21166593,0,0.450729121,0,0.653999116,0,0,0.251878038
0,0,0,4.396469332,0,7.972114466,0,0.404790015,0,0.79271378,0,0,0.17428459
1,0,0,1.755410968,0.185898287,2.267959102,0,0.188553977,0,0.239012083,0,0,0.831230912
1,8.480565371,0.123511684,6.08171533,0.069166543,6.481893187,0,0,0,0.138333086,0,0,1.289461983
1,26.19047619,0.088483528,3.047009711,0,5.72193484,0,0,0,0,0,8.73015873,1.871766948
1,0,0.244359974,3.848052525,0.150565237,9.771930691,0.074048477,0.153033519,0,0,0,0,1.488374389
1,29.35483871,0.057110223,6.095218317,0,12.01391413,0.041534707,0.129795961,0,0.26478376,0,0,1.484865791
1,28.4,0.274737255,2.372334394,0,4.879856962,0.030526362,0,0,0.052330906,0,0,0.444812699
1,0,0,4.440304301,0.139729856,15.68079491,0,0.791802515,0,0.32603633,0,0.532647293,0.512342804
1,0,0,5.332996335,0,14.35612284,0,0.353848098,0,0.265386074,0,0.782237037,0.467584987
1,0,0,6.514823769,0,9.746787123,0,2.252194936,0,0.254485303,0,2.13269519,0.241761038
1,0,0,6.848552339,0,10.93170007,0,2.115812918,0,0.296956199,0,1.371676092,0
1,0,0,3.685288096,0,12.02105879,0,0.33635566,0,0.424100614,0,1.215848949,0.365603978
1,0,0,2.108753316,0.079575597,14.78779841,0,0.610079576,0,0.49071618,0,1.266848661,0
1,9.547889952,0.275843951,5.201628793,0.144489689,6.922369631,0.065677131,0.170760541,0,0.551687902,0,2.320751309,0.42033364
1,2.279172897,0.236171535,3.380981976,0.571783717,10.26724674,0,0.31075202,0,0.174021131,0,1.510854432,0.509633313
1,6.63741916,0.225497302,5.170330998,0.531529355,5.98373198,0.136909076,0.49126198,0.55568978,0.306032053,0,7.231193979,1.014737859
1,0,0.399070519,3.222873308,0.818347141,7.491412407,0,0.308143059,0.116185088,0.4546373,0,1.474691112,1.247726813
1,0,0,0.773790952,0.817472699,5.017160686,0,0.879875195,0,0,0,0,1.697347894
1,0,0.531186682,1.462132413,2.080937517,9.435408795,0.08214227,0,0.125951481,0,0,14.32896775,0.520234379
0,0,0,5.303030303,0.231124807,11.08115049,0,0.847457627,0.102722137,0,0,5.705441627,0.077041602
0,0,0.124025514,4.394046775,0.106307583,16.44223955,0,0.478384125,0,0,0,4.940221768,0.442948264
0,0,0.118796199,3.101900739,0.541182682,8.474128828,0,0.646779303,0.32998944,0,0,4.222983494,0.263991552
0,0,0,4.901572202,0.435988902,8.98401374,0,1.241907782,0,0,0,3.351841475,0.409565332
0,0,0.179767936,3.856839353,0.310508253,15.86860598,0,1.225690472,0.261480634,0,0,5.987429706,0.604673966
0,0,0,3.842805621,0,14.52555652,0,1.280935207,0.099490113,0,0,7.513337671,0.099490113
1,1.051012561,0.109714742,11.82924397,0,3.64053461,0,0.089766607,0.049870337,0.428884899,0,8.712865647,2.274087373
1,0.098744098,0.190694127,12.57309942,0,6.598016781,0.152555301,0.050851767,0,0.584795322,0,2.57660382,2.860411899
1,0.491881774,0.131083074,11.92855972,0,5.816811404,0,0.278551532,0,0.442405374,0,4.004701171,1.654923808
1,3.514681938,0,12.53049457,0,8.871146596,0.066533599,0,0,0.288312264,0,7.472909999,2.306498115
1,1.18373649,0,11.58984636,0.083500334,7.114228457,0,0.183700735,0,0.534402138,0,4.674396779,2.839011356
1,0.206534451,0,11.01694915,0,5.225988701,0,0,0,0.580665411,0,4.110782094,3.028876334
0,0,0,12.36704014,0.198553397,8.707984683,0,0.099276698,0,0.269465324,0,4.050632911,2.269181676
0,0,0,13.54798569,0.077772593,8.570539742,0,0.513299113,0,0.279981335,0,3.671153632,1.524342822
0,0,0,9.913850232,0.304837641,4.49304175,0,0.463883366,0.212060968,0.265076209,0.04964864,26.34815154,1.431411531
0,0,0,11.35331517,0,6.902815622,0,0.333030578,0.25734181,0.333030578,0.045276806,14.21691706,1.211020285
0,0,0,10.4773927,0.436079871,3.844388341,0,0.378700941,0,0.137709433,0,11.33019912,1.939407849
0,0,0.039615727,11.71635139,0.099039319,6.962464098,0.10894325,0.376349411,0,0.307021888,0,9.925725861,1.921362781
1,0,0,9.606130814,1.176260916,3.81393691,0,0.106932811,0,0.481197647,0,7.888816677,1.764391374
1,0.074819187,0,9.342023588,0.341402855,4.469273743,0,0.077591558,0,0.263811297,0,6.40951035,3.196772191
1,0.190298981,0,13.41991342,1.319315605,5.009276438,0,0,0,0.22675737,0,6.668922062,2.535559678
1,0.202304211,0,10.07719879,0.992555831,2.219465123,0,0.289495451,0,0.399779432,0.061719929,19.73323275,1.543975738
1,0.138931769,0,12.2323262,1.173364623,4.370783221,0.176004693,0,0.99735993,0.293341156,0,27.60111145,2.904077442
1,0.326136192,0,13.46035648,0.24585126,1.84388445,0,0.184388445,0.184388445,0.49170252,0,11.85867432,1.659496005
0,0,0,6.674590838,1.014903538,5.037944592,0.091432751,0.146292402,0,0.146292402,0.008184869,17.53744578,2.002377252
0,0,0,6.623967639,2.207989213,2.856902073,0.134839036,0.193831114,0.480364065,0.185403674,0,15.81587375,1.862464183
0,0,0,6.348004758,3.903968855,4.120255218,0,0.216286363,0.984102952,0.194657727,0,15.03753426,2.065534768
0,0,0,7.544769547,1.487425384,4.393776299,0,0.273999413,0.968783638,0.156571093,0,16.25082714,2.671494275
0,0,0,5.907347912,3.461498601,4.332055135,0,0.404186962,0.83946523,0.155456524,0,8.99495007,1.544201472
