,Hakata,Hakata,Kitsuki,Kitsuki,Noto,Noto,Okayama_G,Okayama_G,Okayama_Y,Okayama_Y,Saiki,Saiki,Tokyo_HK,Tokyo_HK,Tokyo_KC,Tokyo_KC
name,seagrass,non,seagrass,non,seagrass,non,seagrass,non,seagrass,non,seagrass,non,seagrass,non,seagrass,non
E_D4_Phaeophyceae,0.31091578,0.560786841,0.35839767,0.122625046,0.105106576,0.297921254,0.12595131,0.309454024,0.05605186,0.112282026,0.561974126,0.990435179,1.24350122,1.240992733,0.267933478,0
E_D4_Perkinsidae,0.425944386,0.44472683,3.579899478,5.749053239,0.274410923,0.250810359,0.129817156,0.038937645,0.395905271,0.230563315,0.653827732,0.706462917,0.958509327,1.424191592,1.671633223,2.264783039
E_D4_Conoidasida,2.561718213,2.208125467,0.252989312,0.014383759,1.545958099,0.784997834,1.714400284,1.638999363,0.564804413,0.372197972,6.632519327,6.55440519,2.814719805,4.090397518,2.271234524,0.409888485
E_D4_Diatomea,2.047601902,1.411847067,2.382136539,1.878995397,1.701252672,2.393259601,3.808074302,2.915285833,3.249681777,2.617468944,0.937124229,0.828871359,1.688641041,1.39590172,3.285671611,3.343601166
E_D4_Pirsonia,0.922384588,1.315248272,1.592671712,2.139539136,2.124145091,3.023564116,1.633752838,1.424027924,1.714639222,1.644119728,0.975234757,0.319050652,1.427021948,2.003261172,1.020768818,1.258653771
E_D4_Dinophyceae,5.998015401,3.980355088,4.480008714,4.412429726,11.63384521,9.093369422,7.604191051,6.83104414,8.758892219,7.560548555,4.542074671,3.76106984,9.490652001,6.988066269,7.271856895,4.769486157
E_D4_Nucleariidae,1.597619874,2.019631194,1.039436392,0.622558583,2.068230464,1.81645131,2.281984043,1.868001378,2.343671253,2.128944643,2.333962212,3.591344119,2.311026602,2.294216397,0.964049922,0.3307043
E_D4_Thecofilosea,1.517319661,1.437120087,0.975980152,1.319017322,2.380673443,1.883557453,2.858122394,2.49979867,2.887116597,2.554696098,0.724921355,0.248033973,2.084465753,1.644813192,2.794713598,1.540683265
E_D4_Imbricatea,2.486381487,2.570081656,1.001773055,3.720611295,2.279232028,2.298052191,3.024202566,3.309517469,3.592205329,3.630599692,2.276216719,2.00757919,2.374590129,2.583335928,2.570857755,1.981199982
E_D4_Hartmannella,0.676874811,0.187255567,0.06048675,0.0308906,0.041332135,0.241384383,1.708070034,2.882808973,0.56322231,0.92041025,0.022485572,0,0.328697767,0.58085614,0.722556829,0.566779984
E_D4_Phytomyxea,2.417515977,2.797993083,0.14379487,0.434320578,1.987865622,2.42970072,7.918801507,7.232692087,10.54788039,10.94032567,1.491341387,2.046607374,1.445788609,1.156322736,0.934554831,0.746332842
E_D4_Rhodymeniophycidae,0.957244994,0.898801501,0.384014427,0.305595486,2.860765552,1.545383258,3.377799004,3.019730571,2.659323886,3.337334823,0.099542995,0.001675918,1.304279259,1.623872074,0.853227486,0.471272704
E_D4_Raphidophyceae,0.47278263,0.623973944,0.073783033,0.01947268,0.174340734,0.376687456,0.489028659,0.507771426,1.02938307,1.086771172,0.134124327,0.037507021,0.114391437,0.079705363,0.187620171,0.097290294
E_D4_Colpodellida,0.709536296,0.907511056,0.095600673,0.290261521,0.918283583,1.702438822,3.117986185,2.78507473,4.291971277,5.652406472,0.031437763,0.021755021,0.123989828,0.12752129,0.36018311,0.243271888
E_D4_Syndiniales,0.36020463,0.270869374,0,0,0.040207702,0.145311612,0.647919331,0.642681971,1.545167253,1.595218886,0.041831258,0.053100489,0,0,0,0
Others,76.53793937,78.36567297,83.57902722,78.94024563,69.86435017,71.71711021,59.55989934,62.0941738,55.80008387,55.61611175,78.54138157,78.83210176,72.28972527,72.76654588,74.82313775,81.97605212
