name,NMDS1,NMDS2,cnd,env
s21004-1-1_kw210913_bmud_slee_01,-0.574660153,-0.297237269,seagrass,Saiki
s21004-1-2_kw210913_bmud_slee_02,-0.454686105,-0.306870847,seagrass,Saiki
s21004-1-3_kw210913_bmud_slee_03,-0.451879303,-0.323135695,seagrass,Saiki
s21004-1-4_kw210913_bmud_slee_04,-0.366521225,-0.308733097,seagrass,Saiki
s21004-1-5_kw210913_bmud_slee_05,-0.350839314,-0.431340832,seagrass,Saiki
s21004-1-6_kw210913_bmud_slee_06,-0.377437639,-0.477534886,seagrass,Saiki
s21004-2-1_kw210913_wout_slee_01,-0.612075329,-0.328089181,non,Saiki
s21004-2-2_kw210913_wout_slee_02,-0.462922418,-0.354965033,non,Saiki
s21004-2-3_kw210913_wout_slee_03,-0.354904509,-0.40065599,non,Saiki
s21004-2-4_kw210913_wout_slee_04,-0.511997713,-0.373622017,non,Saiki
s21004-2-5_kw210913_wout_slee_05,-0.525382504,-0.448850298,non,Saiki
s21004-2-6_kw210913_wout_slee_06,-0.484461318,-0.468669912,non,Saiki
s21004-5-1_kw210929_kwout_1_slee_01,-0.199120071,-0.920333679,seagrass,Saiki
s21004-5-2_kw210929_kwout_1_slee_02,-0.021771549,0.234137933,seagrass,Saiki
s21004-5-3_kw210929_kwout_2_slee_01,-0.884068866,0.685611509,seagrass,Saiki
s21004-5-4_kw210929_kwout_2_slee_02,-0.989118871,0.564895949,seagrass,Saiki
s21004-5-5_kw210929_kwout_3_slee_01,-0.103596486,-0.095971488,seagrass,Saiki
s21004-5-6_kw210929_kwout_3_slee_02,-0.51513125,0.711538747,seagrass,Saiki
s2215_1_kw2209_bmud_slee_1,0.474498501,-0.582804067,seagrass,Saiki
s2215_1_kw2209_bmud_slee_2,0.19263731,-0.654594241,seagrass,Saiki
s2215_1_kw2209_bmud_slee_3,-0.088651831,-0.517274174,seagrass,Saiki
s2215_1_kw2209_bmud_slee_4,0.211391717,-0.650604307,seagrass,Saiki
s2215_1_kw2209_bmud_slee_5,0.16937723,-0.691103395,seagrass,Saiki
s2215_1_kw2209_bmud_slee_6,0.068008586,-0.662739294,seagrass,Saiki
s2215_2_kw2209_wout1_slee_1,0.184264488,-0.048758448,seagrass,Saiki
s2215_2_kw2209_wout1_slee_2,0.390758898,-0.172464909,seagrass,Saiki
s2215_2_kw2209_wout1_slee_3,-0.21920851,-0.038835084,seagrass,Saiki
s2215_2_kw2209_wout1_slee_4,-0.548421264,0.323248564,seagrass,Saiki
s2215_2_kw2209_wout1_slee_5,-0.181141246,1.13555003,seagrass,Saiki
s2215_2_kw2209_wout1_slee_6,-0.22011319,0.855213999,seagrass,Saiki
s2215_3_kw2209_wout2_far_slee_1,0.006993908,-0.375671511,non,Saiki
s2215_3_kw2209_wout2_far_slee_2,0.362900142,-0.411717045,non,Saiki
s2215_3_kw2209_wout2_far_slee_3,-0.078406423,-0.323493397,non,Saiki
s2215_3_kw2209_wout2_far_slee_4,0.007994825,-0.312204149,non,Saiki
s2215_3_kw2209_wout2_far_slee_5,0.13036818,-0.468423072,non,Saiki
s2215_3_kw2209_wout2_far_slee_6,-0.047182066,-0.349977222,non,Saiki
s2212_nt_bmud_slee_1,0.095386162,-0.101269159,seagrass,Noto
s2212_nt_bmud_slee_2,0.154710179,-0.118162067,seagrass,Noto
s2212_nt_bmud_slee_3,0.238569214,-0.171045698,seagrass,Noto
s2212_nt_bmud_slee_4,0.334732948,-0.229221047,seagrass,Noto
s2212_nt_bmud_slee_5,0.159014499,-0.096160162,seagrass,Noto
s2212_nt_bmud_slee_6,0.109034121,-0.114262613,seagrass,Noto
s2212_nt_wout_slee_1,0.209011495,-0.109091234,non,Noto
s2212_nt_wout_slee_2,0.229768458,-0.086162699,non,Noto
s2212_nt_wout_slee_3,0.167565475,-0.004824541,non,Noto
s2212_nt_wout_slee_4,0.199002055,-0.09356294,non,Noto
s2212_nt_wout_slee_5,0.036047372,-0.024053431,non,Noto
s2212_nt_wout_slee_6,0.028830239,-0.065871458,non,Noto
s2312-1-nt230808-bmud-1,0.36680679,-0.010397935,seagrass,Noto
s2312-1-nt230808-bmud-2,0.29433047,0.008097954,seagrass,Noto
s2312-1-nt230808-bmud-3,0.40231467,0.020149917,seagrass,Noto
s2312-1-nt230808-bmud-4,0.133936871,0.116028039,seagrass,Noto
s2312-1-nt230808-bmud-5,0.625137924,-0.01645887,seagrass,Noto
s2312-1-nt230808-bmud-6,0.803796364,-0.225031678,seagrass,Noto
s2312-2-nt230808-wout-1,0.041642261,0.151478408,non,Noto
s2312-2-nt230808-wout-2,0.013642712,0.148984483,non,Noto
s2312-2-nt230808-wout-3,0.098826658,0.271144023,non,Noto
s2312-2-nt230808-wout-4,0.063781869,0.214147523,non,Noto
s2312-2-nt230808-wout-5,0.098438104,0.233988443,non,Noto
s2312-2-nt230808-wout-6,0.102186202,0.114049722,non,Noto
s2213_tyo_bmud_slee_1,0.105133171,-0.118751459,seagrass,Tokyo_HK
s2213_tyo_bmud_slee_2,0.105563912,-0.244284707,seagrass,Tokyo_HK
s2213_tyo_bmud_slee_3,0.142884182,-0.25769446,seagrass,Tokyo_HK
