name,NMDS1,NMDS2,cnd,env
s21004-1-1_kw210913_bmud_slee_01,-1.551519092,-0.118552032,seagrass,Saiki
s21004-1-2_kw210913_bmud_slee_02,-1.380275871,-0.115752702,seagrass,Saiki
s21004-1-3_kw210913_bmud_slee_03,-1.424538796,-0.32319841,seagrass,Saiki
s21004-1-4_kw210913_bmud_slee_04,-1.631101059,-0.038713503,seagrass,Saiki
s21004-1-5_kw210913_bmud_slee_05,-1.909354288,-0.941095822,seagrass,Saiki
s21004-1-6_kw210913_bmud_slee_06,-1.413741437,-0.643888,seagrass,Saiki
s21004-2-1_kw210913_wout_slee_01,-1.278582923,-0.314028969,non,Saiki
s21004-2-2_kw210913_wout_slee_02,-1.317363851,-0.462951064,non,Saiki
s21004-2-3_kw210913_wout_slee_03,-1.368300937,-0.132181146,non,Saiki
s21004-2-4_kw210913_wout_slee_04,-1.144492431,-0.452502926,non,Saiki
s21004-2-5_kw210913_wout_slee_05,-1.089199009,-0.941191223,non,Saiki
s21004-2-6_kw210913_wout_slee_06,-1.393942507,-0.211404757,non,Saiki
s21004-5-1_kw210929_kwout_1_slee_01,-1.465812587,-1.283329581,seagrass,Saiki
s21004-5-2_kw210929_kwout_1_slee_02,-1.267971793,-0.19752797,seagrass,Saiki
s21004-5-3_kw210929_kwout_2_slee_01,-1.304870906,1.118768371,seagrass,Saiki
s21004-5-4_kw210929_kwout_2_slee_02,-1.88893955,0.870220771,seagrass,Saiki
s21004-5-5_kw210929_kwout_3_slee_01,-1.604105833,0.545062189,seagrass,Saiki
s21004-5-6_kw210929_kwout_3_slee_02,-1.371845531,0.247355134,seagrass,Saiki
s2215_1_kw2209_bmud_slee_1,-0.623369655,0.005979166,seagrass,Saiki
s2215_1_kw2209_bmud_slee_2,-0.477403871,0.001197293,seagrass,Saiki
s2215_1_kw2209_bmud_slee_3,-0.037818094,-0.425507902,seagrass,Saiki
s2215_1_kw2209_bmud_slee_4,-0.308121062,-0.094567259,seagrass,Saiki
s2215_1_kw2209_bmud_slee_5,-0.064007756,-0.095961707,seagrass,Saiki
s2215_1_kw2209_bmud_slee_6,-0.341393789,-0.083547652,seagrass,Saiki
s2215_2_kw2209_wout1_slee_1,0.366124515,0.649211228,seagrass,Saiki
s2215_2_kw2209_wout1_slee_2,-0.335387733,0.50185165,seagrass,Saiki
s2215_2_kw2209_wout1_slee_3,-0.1599305,0.582586309,seagrass,Saiki
s2215_2_kw2209_wout1_slee_4,-1.033566347,0.391903424,seagrass,Saiki
s2215_2_kw2209_wout1_slee_5,-1.512409179,0.943013073,seagrass,Saiki
s2215_2_kw2209_wout1_slee_6,-1.024037031,1.416815052,seagrass,Saiki
