yyyy,mm,dd,areaNo.,flag,Temp.
1982,1,1,319,R,14.15
1982,1,2,319,R,14.17
1982,1,3,319,R,14.07
1982,1,4,319,R,13.89
1982,1,5,319,R,13.79
1982,1,6,319,R,13.81
1982,1,7,319,R,13.82
1982,1,8,319,R,13.79
1982,1,9,319,R,13.72
1982,1,10,319,R,13.61
1982,1,11,319,R,13.48
1982,1,12,319,R,13.37
1982,1,13,319,R,13.27
1982,1,14,319,R,13.14
1982,1,15,319,R,13.06
1982,1,16,319,R,13.05
1982,1,17,319,R,13.07
1982,1,18,319,R,12.85
1982,1,19,319,R,12.31
1982,1,20,319,R,12.03
1982,1,21,319,R,11.99
1982,1,22,319,R,11.93
1982,1,23,319,R,11.86
1982,1,24,319,R,11.79
1982,1,25,319,R,11.7
1982,1,26,319,R,11.57
1982,1,27,319,R,11.49
1982,1,28,319,R,11.48
1982,1,29,319,R,11.46
1982,1,30,319,R,11.34
1982,1,31,319,R,11.29
1982,2,1,319,R,11.29
1982,2,2,319,R,11.34
1982,2,3,319,R,11.36
1982,2,4,319,R,11.16
1982,2,5,319,R,11
1982,2,6,319,R,10.88
1982,2,7,319,R,10.78
1982,2,8,319,R,10.74
1982,2,9,319,R,10.75
1982,2,10,319,R,10.75
1982,2,11,319,R,10.7
1982,2,12,319,R,10.66
1982,2,13,319,R,10.66
1982,2,14,319,R,10.66
1982,2,15,319,R,10.63
1982,2,16,319,R,10.55
1982,2,17,319,R,10.5
1982,2,18,319,R,10.49
1982,2,19,319,R,10.47
1982,2,20,319,R,10.44
1982,2,21,319,R,10.41
1982,2,22,319,R,10.4
1982,2,23,319,R,10.4
1982,2,24,319,R,10.39
1982,2,25,319,R,10.33
1982,2,26,319,R,10.4
1982,2,27,319,R,10.52
1982,2,28,319,R,10.63
1982,3,1,319,R,10.71
1982,3,2,319,R,10.77
1982,3,3,319,R,10.85
1982,3,4,319,R,10.77
1982,3,5,319,R,10.57
1982,3,6,319,R,10.45
1982,3,7,319,R,10.39
1982,3,8,319,R,10.31
1982,3,9,319,R,10.23
1982,3,10,319,R,10.19
1982,3,11,319,R,10.18
1982,3,12,319,R,10.2
1982,3,13,319,R,10.24
1982,3,14,319,R,10.3
1982,3,15,319,R,10.35
1982,3,16,319,R,10.4
1982,3,17,319,R,10.43
1982,3,18,319,R,10.45
1982,3,19,319,R,10.45
1982,3,20,319,R,10.47
1982,3,21,319,R,10.5
1982,3,22,319,R,10.5
1982,3,23,319,R,10.51
1982,3,24,319,R,10.54
1982,3,25,319,R,10.56
1982,3,26,319,R,10.56
1982,3,27,319,R,10.52
1982,3,28,319,R,10.46
1982,3,29,319,R,10.4
1982,3,30,319,R,10.37
1982,3,31,319,R,10.35
1982,4,1,319,R,10.33
1982,4,2,319,R,10.33
1982,4,3,319,R,10.32
1982,4,4,319,R,10.3
1982,4,5,319,R,10.28
1982,4,6,319,R,10.28
1982,4,7,319,R,10.27
1982,4,8,319,R,10.28
1982,4,9,319,R,10.31
1982,4,10,319,R,10.35
1982,4,11,319,R,10.43
1982,4,12,319,R,10.52
1982,4,13,319,R,10.61
1982,4,14,319,R,10.73
1982,4,15,319,R,10.86
1982,4,16,319,R,11.01
1982,4,17,319,R,11.17
1982,4,18,319,R,11.32
1982,4,19,319,R,11.48
1982,4,20,319,R,11.61
1982,4,21,319,R,11.71
1982,4,22,319,R,11.8
1982,4,23,319,R,11.89
1982,4,24,319,R,12
1982,4,25,319,R,12.14
1982,4,26,319,R,12.33
1982,4,27,319,R,12.5
1982,4,28,319,R,12.59
1982,4,29,319,R,12.62
1982,4,30,319,R,12.65
1982,5,1,319,R,12.8
1982,5,2,319,R,13.09
1982,5,3,319,R,13.58
1982,5,4,319,R,13.96
1982,5,5,319,R,14.21
1982,5,6,319,R,14.3
1982,5,7,319,R,14.35
1982,5,8,319,R,14.51
1982,5,9,319,R,14.65
1982,5,10,319,R,14.79
1982,5,11,319,R,14.98
1982,5,12,319,R,15.16
1982,5,13,319,R,15.28
1982,5,14,319,R,15.31
1982,5,15,319,R,15.32
1982,5,16,319,R,15.34
1982,5,17,319,R,15.37
1982,5,18,319,R,15.43
1982,5,19,319,R,15.52
1982,5,20,319,R,15.63
1982,5,21,319,R,15.75
1982,5,22,319,R,15.87
1982,5,23,319,R,15.99
1982,5,24,319,R,16.12
1982,5,25,319,R,16.22
1982,5,26,319,R,16.3
1982,5,27,319,R,16.47
1982,5,28,319,R,16.75
1982,5,29,319,R,17
1982,5,30,319,R,17.16
1982,5,31,319,R,17.24
1982,6,1,319,R,17.34
1982,6,2,319,R,17.54
1982,6,3,319,R,17.72
1982,6,4,319,R,17.97
1982,6,5,319,R,18.36
1982,6,6,319,R,18.72
1982,6,7,319,R,19.05
1982,6,8,319,R,19.33
1982,6,9,319,R,19.53
1982,6,10,319,R,19.63
1982,6,11,319,R,19.68
1982,6,12,319,R,19.73
1982,6,13,319,R,19.79
1982,6,14,319,R,19.84
1982,6,15,319,R,19.86
1982,6,16,319,R,19.9
1982,6,17,319,R,19.97
1982,6,18,319,R,20.09
1982,6,19,319,R,20.2
1982,6,20,319,R,20.31
1982,6,21,319,R,20.44
1982,6,22,319,R,20.59
1982,6,23,319,R,20.74
1982,6,24,319,R,20.85
1982,6,25,319,R,20.89
1982,6,26,319,R,20.91
1982,6,27,319,R,20.95
1982,6,28,319,R,21
1982,6,29,319,R,20.99
1982,6,30,319,R,20.99
1982,7,1,319,R,21.08
1982,7,2,319,R,21.28
1982,7,3,319,R,21.51
1982,7,4,319,R,21.73
1982,7,5,319,R,21.95
1982,7,6,319,R,22.19
1982,7,7,319,R,22.5
1982,7,8,319,R,22.8
1982,7,9,319,R,23.03
1982,7,10,319,R,23.2
1982,7,11,319,R,23.29
1982,7,12,319,R,23.37
1982,7,13,319,R,23.43
1982,7,14,319,R,23.44
1982,7,15,319,R,23.44
1982,7,16,319,R,23.47
1982,7,17,319,R,23.5
1982,7,18,319,R,23.53
1982,7,19,319,R,23.57
1982,7,20,319,R,23.64
1982,7,21,319,R,23.72
1982,7,22,319,R,23.81
1982,7,23,319,R,23.91
1982,7,24,319,R,24
1982,7,25,319,R,24.12
1982,7,26,319,R,24.26
1982,7,27,319,R,24.29
1982,7,28,319,R,24.19
1982,7,29,319,R,24
1982,7,30,319,R,23.79
1982,7,31,319,R,23.57
1982,8,1,319,R,23.42
1982,8,2,319,R,23.35
1982,8,3,319,R,23.55
1982,8,4,319,R,23.91
1982,8,5,319,R,24.18
1982,8,6,319,R,24.37
1982,8,7,319,R,24.49
1982,8,8,319,R,24.6
1982,8,9,319,R,24.73
1982,8,10,319,R,24.88
1982,8,11,319,R,25.04
1982,8,12,319,R,25.23
1982,8,13,319,R,25.42
1982,8,14,319,R,25.59
1982,8,15,319,R,25.73
1982,8,16,319,R,25.83
1982,8,17,319,R,25.9
1982,8,18,319,R,25.95
1982,8,19,319,R,25.95
1982,8,20,319,R,25.89
1982,8,21,319,R,25.82
1982,8,22,319,R,25.8
1982,8,23,319,R,25.8
1982,8,24,319,R,25.85
1982,8,25,319,R,25.92
1982,8,26,319,R,25.98
1982,8,27,319,R,25.99
1982,8,28,319,R,25.91
1982,8,29,319,R,25.81
1982,8,30,319,R,25.71
1982,8,31,319,R,25.62
1982,9,1,319,R,25.53
1982,9,2,319,R,25.43
1982,9,3,319,R,25.32
1982,9,4,319,R,25.22
1982,9,5,319,R,25.11
1982,9,6,319,R,24.95
1982,9,7,319,R,24.78
1982,9,8,319,R,24.61
1982,9,9,319,R,24.41
1982,9,10,319,R,24.26
1982,9,11,319,R,24.16
1982,9,12,319,R,24.07
1982,9,13,319,R,23.95
1982,9,14,319,R,23.78
1982,9,15,319,R,23.56
1982,9,16,319,R,23.37
1982,9,17,319,R,23.22
1982,9,18,319,R,23.04
1982,9,19,319,R,22.86
1982,9,20,319,R,22.72
1982,9,21,319,R,22.62
1982,9,22,319,R,22.54
