yyyy,mm,dd,areaNo.,flag,Temp.
2016,1,1,508,P,15.9
2016,1,2,508,P,15.86
2016,1,3,508,P,15.91
2016,1,4,508,P,16.08
2016,1,5,508,P,16.12
2016,1,6,508,P,16.05
2016,1,7,508,P,15.54
2016,1,8,508,P,15.24
2016,1,9,508,P,15.18
2016,1,10,508,P,14.97
2016,1,11,508,P,14.92
2016,1,12,508,P,15.03
2016,1,13,508,P,14.93
2016,1,14,508,P,14.81
2016,1,15,508,P,14.61
2016,1,16,508,P,14.69
2016,1,17,508,P,14.73
2016,1,18,508,P,14.55
2016,1,19,508,P,14.27
2016,1,20,508,P,13.85
2016,1,21,508,P,13.5
2016,1,22,508,P,13.33
2016,1,23,508,P,13.02
2016,1,24,508,P,12.56
2016,1,25,508,P,12.66
2016,1,26,508,P,12.64
2016,1,27,508,P,12.74
2016,1,28,508,P,12.85
2016,1,29,508,P,12.83
2016,1,30,508,P,12.38
2016,1,31,508,P,12.44
2016,2,1,508,P,12.42
2016,2,2,508,P,12.24
2016,2,3,508,P,12.3
2016,2,4,508,P,12.2
2016,2,5,508,P,12.15
2016,2,6,508,P,12.09
2016,2,7,508,P,12.38
2016,2,8,508,P,12.53
2016,2,9,508,P,12.51
2016,2,10,508,P,12.67
2016,2,11,508,P,12.71
2016,2,12,508,P,12.76
2016,2,13,508,P,12.77
2016,2,14,508,P,12.66
2016,2,15,508,P,12.25
2016,2,16,508,P,12.21
2016,2,17,508,P,12.13
2016,2,18,508,P,11.93
2016,2,19,508,P,11.76
2016,2,20,508,P,11.64
2016,2,21,508,P,11.57
2016,2,22,508,P,11.47
2016,2,23,508,P,11.3
2016,2,24,508,P,11.21
2016,2,25,508,P,11.38
2016,2,26,508,P,11.57
2016,2,27,508,P,11.6
2016,2,28,508,P,11.54
2016,2,29,508,P,11.55
2016,3,1,508,P,11.69
2016,3,2,508,P,11.91
2016,3,3,508,P,12.07
2016,3,4,508,P,12.12
2016,3,5,508,P,12.22
2016,3,6,508,P,12.3
2016,3,7,508,P,12.38
2016,3,8,508,P,12.31
2016,3,9,508,P,12.3
2016,3,10,508,P,12.09
2016,3,11,508,P,11.83
2016,3,12,508,P,11.99
2016,3,13,508,P,11.88
2016,3,14,508,P,12.02
2016,3,15,508,P,12.27
2016,3,16,508,P,12.25
2016,3,17,508,P,12.52
2016,3,18,508,P,12.7
2016,3,19,508,P,12.76
2016,3,20,508,P,12.59
2016,3,21,508,P,12.64
2016,3,22,508,P,12.7
2016,3,23,508,P,12.7
2016,3,24,508,P,12.47
2016,3,25,508,P,12.18
2016,3,26,508,P,12.18
2016,3,27,508,P,12.31
2016,3,28,508,P,12.59
2016,3,29,508,P,12.68
2016,3,30,508,P,12.72
2016,3,31,508,P,12.56
2016,4,1,508,P,12.33
2016,4,2,508,P,12.71
2016,4,3,508,P,12.71
2016,4,4,508,P,12.77
2016,4,5,508,P,12.48
2016,4,6,508,P,12.51
2016,4,7,508,P,12.51
2016,4,8,508,P,12.32
2016,4,9,508,P,12.68
2016,4,10,508,P,12.91
2016,4,11,508,P,12.68
2016,4,12,508,P,12.62
2016,4,13,508,P,12.64
2016,4,14,508,P,12.98
2016,4,15,508,P,12.96
2016,4,16,508,P,13.05
2016,4,17,508,P,13.44
2016,4,18,508,P,13.65
2016,4,19,508,P,13.91
2016,4,20,508,P,14.01
2016,4,21,508,P,14.12
2016,4,22,508,P,14.23
2016,4,23,508,P,14.46
2016,4,24,508,P,14.57
2016,4,25,508,P,14.46
2016,4,26,508,P,14.8
2016,4,27,508,P,14.99
2016,4,28,508,P,15.08
2016,4,29,508,P,15.06
2016,4,30,508,P,15.22
2016,5,1,508,P,15.58
2016,5,2,508,P,15.71
2016,5,3,508,P,15.8
2016,5,4,508,P,15.49
2016,5,5,508,P,15.35
2016,5,6,508,P,15.29
2016,5,7,508,P,15.3
2016,5,8,508,P,15.39
2016,5,9,508,P,15.22
2016,5,10,508,P,15.19
2016,5,11,508,P,15.56
2016,5,12,508,P,16.74
2016,5,13,508,P,16.83
2016,5,14,508,P,16.87
2016,5,15,508,P,16.96
2016,5,16,508,P,17.07
2016,5,17,508,P,16.63
2016,5,18,508,P,16.58
2016,5,19,508,P,16.64
